area_name_en,property_type_en,median_price,meter_sale_price,price_per_sqm,sale_count,growth_stage,median_rent,meter_rent_price,rent_count,rental_yield,growth_stage_encoded,cluster_id,cluster_label
Al Thanyah Third,Villa,3600000.0,10418.125,10935.977522510037,1704,Stabilized / Legacy,2653911.0,7771.555,581,0.7372,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Twar First,Villa,1710000.0,2152.78,2158.8769757361038,141,,2100000.0,2092.99,10,1.2281,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Twar Fourth,Villa,820310.0,1705.06,1985.7852561400591,167,,3520000.0,2525.92,4,4.2911,,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
Al Twar Second,Villa,2800000.0,2311.18,2441.795124499464,53,,2278000.0,2370.655,5,0.8136,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Twar Third,Land,2650000.0,2081.02,2021.718903012032,26,,,,2,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Twar Third,Villa,2695000.0,1933.91,1981.116747459916,135,,3850000.0,2743.295,9,1.4286,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Waheda,Villa,1300000.0,3229.94,3695.507402545188,438,,1578000.0,2873.35,19,1.2138,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa First,Building,9747400.0,6458.35,9035.902457708904,203,,21197000.0,15210.79,1,2.1746,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa First,Land,7462500.0,5543.76,6336.196932933341,104,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Fourth,Land,2380006.0,1937.51,4256.878792292637,19,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Fourth,Villa,1855000.0,1373.335,2156.091398029233,26,,2368800.0,2285.24,6,1.277,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Second,Building,3000000.0,2088.19,2356.801207546524,11,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Second,Land,2900000.0,2554.74,2173.178328932079,39,,5697500.0,4604.35,4,1.9647,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Second,Villa,1847909.5,1614.135,2357.0768538897946,48,,3180000.0,2727.1000000000004,6,1.7209,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Third,Building,2330400.0,2081.85,1942.7997544415664,25,,2532000.0,1800.07,5,1.0865,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Third,Land,2000000.0,1811.81,1886.354522929348,123,,2015000.0,1755.93,5,1.0075,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warqa Third,Villa,1281681.0,1081.8000000000002,1386.142225154056,228,,3900000.0,3515.86,16,3.0429,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warsan First,Building,13986500.0,10908.93,11412.92871800324,279,Early Growth,5266575.0,5021.35,15,0.3765,1.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Al Warsan First,Unit,330000.0,5845.32,6244.973040222769,29289,Off-Plan or Launch,368100.0,5494.03,2534,1.1155,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Warsan First,Villa,1600000.0,10259.74,10135.290898276506,312,Maturity,1162500.0,7548.7,66,0.7266,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Wasl,Land,7604864.0,7831.799999999999,10291.217132614243,134,Off-Plan or Launch,,,1,,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Wasl,Unit,3383138.0,20273.88,21351.307813677075,1169,Maturity,2359000.0,13673.395,32,0.6973,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Wasl,Villa,5000000.0,5029.6900000000005,4940.192182871743,106,,,,3,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Yelayiss 1,Villa,2200000.0,8249.02,8530.202164561239,1474,Maturity,1460625.0,5484.049999999999,360,0.6639,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Yelayiss 2,Unit,800000.0,10294.585,10395.610603437915,1162,Maturity,600000.0,7067.94,131,0.75,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Al Yelayiss 2,Villa,1780000.0,8617.42,8963.490471081235,1115,Off-Plan or Launch,1126550.0,5585.05,201,0.6329,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
